date,volume,high,low,adj_close,close,open
2014-11-17,1122000,67.4105,66.5725,57.7696,67.1563,66.8173
2014-11-18,1675400,68.5499,67.1751,58.6687,68.2015,67.3258
2014-11-19,1235300,68.6158,67.8625,58.855,68.4181,68.1638
2014-11-20,2109500,69.209,67.9943,59.4382,69.096,67.9943
2014-11-21,1980400,70.0094,69.2185,59.6407,69.3315,69.9812
2014-11-24,1815800,69.9153,69.0584,59.8675,69.5951,69.6045
2014-11-25,2648400,70.0377,69.3503,59.989,69.7363,69.6893
2014-11-26,1192400,69.9812,69.5009,59.9809,69.7269,69.7363
2014-11-28,1110500,71.0264,70.1695,60.8881,70.7815,70.1977
2014-12-01,1428300,70.2919,69.2467,59.6974,69.3974,69.9812
2014-12-02,1902700,70.1507,69.3409,60.1105,69.8776,69.9247
2014-12-03,1231200,70.2825,69.5763,60.4021,70.2166,69.6516
2014-12-04,1266000,70.3578,69.6234,60.1105,69.8776,70.0283
2014-12-05,1404600,69.9341,69.0866,59.9558,69.3785,69.6328
2014-12-08,1352300,69.5292,68.7288,59.6466,69.0207,69.4068
2014-12-09,1671500,69.1243,67.7966,59.5489,68.9077,68.4369
2014-12-10,1735700,69.1337,68.3051,59.1095,68.3992,68.9642
2014-12-11,1379100,69.6422,68.5311,59.671,69.049,68.6817
2014-12-12,1417900,69.5857,68.4087,59.1421,68.4369,68.7476
2014-12-15,1852300,69.2185,67.646,59.0444,68.3239,68.7288
2014-12-16,1766700,68.3333,67.1092,58.0273,67.1469,68.0697
2014-12-17,1700300,69.0584,67.2881,59.5083,68.8606,67.3729
2014-12-18,1938500,70.2637,69.1714,60.6882,70.226,69.6422
2014-12-19,2688800,70.4896,68.8512,59.7361,69.1243,70.4331
2014-12-22,933200,69.7646,68.9925,60.2894,69.7646,69.2279
2014-12-23,912600,70.6874,69.7458,60.737,70.2825,69.8211
2014-12-24,544900,70.4331,70.0283,60.7288,70.2731,70.3672
2014-12-26,720300,70.9416,70.2542,61.0625,70.6591,70.4049
2014-12-29,1019500,71.4878,70.3672,61.4042,71.0546,70.3672
2014-12-30,945900,71.1394,70.4426,61.1194,70.725,70.7062
2014-12-31,1119700,71.5537,70.5179,60.9485,70.5273,71.1488
2015-01-02,1392800,71.064,68.8606,60.0209,69.4539,70.8004
2015-01-05,2077000,69.4539,68.5687,59.5164,68.8701,68.9736
2015-01-06,2116400,69.4539,68.0132,59.1665,68.4652,68.8701
2015-01-07,1792800,69.5292,68.6723,59.9232,69.3409,68.9077
2015-01-08,2276700,70.9322,69.9341,61.274,70.904,70.0565
2015-01-09,2614600,71.3183,70.2166,61.2252,70.8475,71.1017
2015-01-12,2234100,71.5254,70.6215,61.2822,70.9134,71.0452
2015-01-13,3169900,72.4011,70.1412,61.095,70.6968,71.3559
2015-01-14,1958400,70.4143,69.2467,60.2569,69.7269,69.4915
2015-01-15,3291800,70.2542,67.6554,58.5318,67.7307,69.7646
2015-01-16,2383400,68.3804,67.1846,59.0525,68.3333,67.7307
2015-01-20,3091800,68.71,67.1092,58.4829,67.6742,67.7589
2015-01-21,3446000,67.9096,67.1092,58.3283,67.4953,67.3164
2015-01-22,4261800,68.3522,67.3917,58.7026,67.9284,67.7684
2015-01-23,3659300,68.0226,66.9115,57.8808,66.9774,67.9849
2015-01-26,2607800,67.5612,66.4595,58.1737,67.3164,66.6855
2015-01-27,2862300,67.1657,65.9604,57.8238,66.9115,66.629
2015-01-28,2844500,68.0508,66.855,57.7994,66.8832,67.467
2015-01-29,3314100,67.6554,66.5348,58.0923,67.2222,67.1375
2015-01-30,3157200,66.8362,65.2448,56.4486,65.3202,65.8851
2015-02-02,4139000,65.3013,64.3032,56.3916,65.2542,64.3315
2015-02-03,3244000,67.0433,65.6309,57.8889,66.9868,65.7533
2015-02-04,8187900,66.0075,64.1902,56.0499,64.8588,65.5367
2015-02-05,2925900,66.2335,65.1318,57.1566,66.1394,65.3107
2015-02-06,3868800,66.6478,65.1977,56.351,65.2072,66.5066
2015-02-09,4554800,65.0471,63.8889,55.9115,64.6987,65.0377
2015-02-10,3938100,65.9604,65.0753,56.6683,65.5744,65.2919
2015-02-11,3077600,66.0734,65.4614,57.0182,65.9793,65.4614
2015-02-12,4260500,67.0998,66.0829,57.775,66.855,66.1676
2015-02-13,5918100,71.3089,68.2015,61.2415,70.8663,68.5876
2015-02-17,3165800,71.4878,69.8776,61.3554,70.9981,70.5179
2015-02-18,3531500,71.29,70.6121,61.3066,70.9416,70.6121
2015-02-19,3882300,71.0358,70.0847,60.5824,70.1036,70.9604
2015-02-20,2396000,71.403,69.8682,61.6809,71.3748,70.0942
2015-02-23,2699300,71.855,71.2429,61.982,71.7232,71.4218
2015-02-24,1843300,72.2034,71.6667,62.1041,71.8644,71.7891
2015-02-25,2942900,73.2863,72.0433,63.1538,73.0791,72.0433
2015-02-26,2046100,73.0226,72.2222,62.5597,72.3917,72.8719
2015-02-27,1840600,72.4576,72.0527,62.3807,72.1846,72.2787
2015-03-02,2060800,72.9096,71.8927,62.8527,72.7307,72.0621
2015-03-03,1575600,72.5518,71.7891,62.4051,72.2128,72.2411
2015-03-04,1284100,72.3164,71.5631,62.2424,72.0245,72.1186
2015-03-05,1856300,72.42,71.516,61.9006,71.629,72.3352
2015-03-06,1660400,71.1582,69.9906,60.8869,70.1412,71.064
2015-03-09,1440100,70.8757,70.0847,61.361,70.6874,70.339
2015-03-10,1433000,70.2072,69.5857,60.4701,69.661,69.8493
2015-03-11,2287300,69.8682,68.3333,59.4402,68.4746,69.6987
2015-03-12,2850500,69.1337,68.484,59.8488,68.9454,68.9171
2015-03-13,1619900,69.435,68.2392,59.6118,68.6723,69.0584
2015-03-16,1299100,69.209,68.6535,59.7998,68.8889,68.983
2015-03-17,2195300,69.0772,68.4746,59.7426,68.823,68.6629
2015-03-18,2336800,69.8211,68.0226,60.4047,69.5857,68.6629
2015-03-19,1163400,69.8682,69.2373,60.5354,69.7363,69.5951
2015-03-20,5426800,70.9604,69.774,61.5082,70.8569,69.9717
2015-03-23,2054800,72.0151,70.8663,62.113,71.5537,70.9793
2015-03-24,1410700,71.5537,70.7627,61.6226,70.9887,71.4878
2015-03-25,1906200,71.1864,69.7458,60.5436,69.7458,70.9981
2015-03-26,1215000,69.9529,68.7571,60.3883,69.5669,69.3597
2015-03-27,896300,70.3672,69.5669,60.7807,70.0188,69.7269
2015-03-30,937400,70.9793,70.2731,61.41,70.7439,70.2731
2015-03-31,2722400,71.3559,70.5179,61.5572,70.9134,70.6685
2015-04-01,1679300,70.9793,69.9153,61.3283,70.6497,70.9793
2015-04-02,1141700,71.2241,70.5461,61.6961,71.0734,70.6309
2015-04-06,1354000,71.7326,70.4143,61.9495,71.3653,70.5838
2015-04-07,1540500,71.5913,70.9416,61.8187,71.2147,71.3465
2015-04-08,1439000,71.6196,70.6497,61.786,71.177,71.2712
2015-04-09,1098800,71.5725,70.5744,61.5245,70.8757,71.2429
2015-04-10,1441900,71.2147,70.5273,61.7779,71.1676,70.8851
2015-04-13,1215100,71.3936,70.5085,61.2057,70.5085,71.064
2015-04-14,1344200,70.6874,69.9717,61.0259,70.3013,70.5179
2015-04-15,1350300,71.1394,70.113,60.936,70.1977,70.6591
2015-04-16,820800,70.5556,70.0283,60.9115,70.1695,70.1412
2015-04-17,1551100,69.9906,69.2279,60.2739,69.435,69.7552
2015-04-20,1422600,70.2166,69.4727,60.4619,69.6516,69.8964
2015-04-21,1255200,70.226,69.7175,60.7561,69.9906,70.0471
2015-04-22,1033200,70.2072,69.3126,60.4128,69.5951,70.1977
2015-04-23,1674200,70.0283,69.3126,60.4128,69.5951,69.5104
