date,volume,high,low,adj_close,close,open
9/4/19,3163260000,2938.84,2921.86,2937.78,2937.78,2924.67
9/5/19,1985626103,2985.86,2960.6,2976,2976,2960.6
9/6/19,3208280000,2985.03,2972.51,2978.71,2978.71,2980.33
9/9/19,4002890000,2989.43,2969.39,2978.43,2978.43,2988.43
9/10/19,4390770000,2979.39,2957.01,2979.39,2979.39,2971.01
9/11/19,3927550000,3000.93,2975.31,3000.93,3000.93,2981.41
9/12/19,3791860000,3020.74,3000.92,3009.57,3009.57,3009.08
9/13/19,3520060000,3017.33,3002.9,3007.39,3007.39,3012.21
9/16/19,4274640000,3002.19,2990.67,2997.96,2997.96,2996.41
9/17/19,3671840000,3006.21,2993.73,3005.7,3005.7,2995.67
9/18/19,3435540000,3007.83,2978.57,3006.73,3006.73,3001.5
9/19/19,3251290000,3021.99,3003.16,3006.79,3006.79,3010.36
9/20/19,6094740000,3016.37,2984.68,2992.07,2992.07,3008.42
9/23/19,3186590000,2999.15,2982.23,2991.78,2991.78,2983.5
9/24/19,3868160000,3007.98,2957.73,2966.6,2966.6,3002.43
9/25/19,3318870000,2989.82,2952.86,2984.87,2984.87,2968.35
9/26/19,3077240000,2987.28,2963.71,2977.62,2977.62,2985.73
9/27/19,3243650000,2987.31,2945.53,2961.79,2961.79,2985.47
9/30/19,3247610000,2983.85,2967.07,2976.74,2976.74,2967.07
10/1/19,3558040000,2992.53,2938.7,2940.25,2940.25,2983.69
10/2/19,3912520000,2924.78,2874.93,2887.61,2887.61,2924.78
10/3/19,3503640000,2911.13,2855.94,2910.63,2910.63,2885.38
10/4/19,2990830000,2953.74,2918.56,2952.01,2952.01,2918.56
10/7/19,2940140000,2959.75,2935.68,2938.79,2938.79,2944.23
10/8/19,3356450000,2925.47,2892.66,2893.06,2893.06,2920.4
10/9/19,2726820000,2929.32,2907.41,2919.4,2919.4,2911.1
10/10/19,3217250000,2948.46,2917.12,2938.13,2938.13,2918.55
10/11/19,3580460000,2993.28,2963.07,2970.27,2970.27,2963.07
10/14/19,2557020000,2972.84,2962.94,2966.15,2966.15,2965.81
10/15/19,3340740000,3003.28,2973.61,2995.68,2995.68,2973.61
10/16/19,3222570000,2997.54,2985.2,2989.69,2989.69,2989.68
10/17/19,3115960000,3008.29,2991.79,2997.95,2997.95,3000.77
10/18/19,3264290000,3000,2976.31,2986.2,2986.2,2996.84
10/21/19,3271620000,3007.33,2995.35,3006.72,3006.72,2996.48
10/22/19,3523890000,3014.57,2995.04,2995.99,2995.99,3010.73
10/23/19,3392870000,3004.78,2991.21,3004.52,3004.52,2994.01
10/24/19,3692600000,3016.07,3000.42,3010.29,3010.29,3014.78
10/25/19,3370370000,3027.39,3001.94,3022.55,3022.55,3003.32
10/28/19,3521230000,3044.08,3032.12,3039.42,3039.42,3032.12
10/29/19,3589930000,3047.87,3034.81,3036.89,3036.89,3035.39
10/30/19,3776030000,3050.1,3025.96,3046.77,3046.77,3039.74
10/31/19,4139280000,3046.9,3023.19,3037.56,3037.56,3046.9
11/1/19,3930200000,3066.95,3050.72,3066.91,3066.91,3050.72
11/4/19,4146850000,3085.2,3074.87,3078.27,3078.27,3078.96
11/5/19,4486130000,3083.95,3072.15,3074.62,3074.62,3080.8
11/6/19,4458190000,3078.34,3065.89,3076.78,3076.78,3075.1
11/7/19,4144640000,3097.77,3080.23,3085.18,3085.18,3087.02
11/8/19,3499150000,3093.09,3073.58,3093.08,3093.08,3081.25
11/11/19,3035530000,3088.33,3075.82,3087.01,3087.01,3080.33
11/12/19,3466010000,3102.61,3084.73,3091.84,3091.84,3089.28
11/13/19,3509280000,3098.06,3078.8,3094.04,3094.04,3084.18
11/14/19,3276070000,3098.2,3083.26,3096.63,3096.63,3090.75
11/15/19,3335650000,3120.46,3104.6,3120.46,3120.46,3107.92
11/18/19,3436690000,3124.17,3112.06,3122.03,3122.03,3117.91
11/19/19,3590070000,3127.64,3113.47,3120.18,3120.18,3127.45
11/20/19,2347345205,3118.97,3091.41,3108.46,3108.46,3114.66
11/21/19,1862138394,3110.11,3094.55,3103.54,3103.54,3108.49
11/22/19,1598304145,3112.87,3099.26,3110.29,3110.29,3111.41
11/25/19,1904704053,3133.83,3117.44,3133.64,3133.64,3117.44
11/26/19,2454169908,3142.69,3131,3140.52,3140.52,3134.85
11/27/19,1493045171,3154.26,3143.41,3153.63,3153.63,3145.49
11/29/19,836642225,3150.3,3139.34,3140.98,3140.98,3147.18
12/2/19,1742453940,3144.31,3110.78,3113.87,3113.87,3143.85
12/3/19,1991484979,3094.97,3070.33,3093.2,3093.2,3087.41
12/4/19,1770489070,3119.38,3102.53,3112.76,3112.76,3103.5
12/5/19,1582614614,3119.45,3103.76,3117.43,3117.43,3119.21
12/6/19,1688196494,3150.6,3134.62,3145.91,3145.91,3134.62
12/9/19,1572519451,3148.87,3135.46,3135.96,3135.96,3141.86
12/10/19,1641661702,3142.12,3126.09,3132.52,3132.52,3135.36
12/11/19,1663261842,3143.98,3133.21,3141.63,3141.63,3135.75
